advisor_id,publication_candidate_id,title,doi,year,candidate_source,candidate_author_id,author_name,affiliation,orcid,identity_status,identity_evidence,counterevidence,decision,adopted_evidence_id,duplicate_group,version_relation,review_required,notes
chen-shuhua,E14,S1PR3 in hippocampal neurons improves synaptic plasticity and decreases depressive behavior via downregulation of RhoA/ROCK1.,10.1016/j.pnpbp.2025.111256,2025,PubMed PMID 39828081; Crossref/DOI when DOI exists; official profile for E2-E6,PUBMED_NAME_AFFILIATION_CLUSTER,Shuhua Chen,"Department of Biochemistry, School of Life Sciences of Central South University",,verified,Current department and established S1PR/RhoA/ROCK1 coauthor cluster agree; topical shift retained for Owner review.,None found in reviewed records,candidate,,,canonical journal record; no linked preprint identified,yes,Featured selection remains pending_manual_review.
chen-shuhua,E15,PACS2/CPT1A/DHODH signaling promotes cardiomyocyte ferroptosis in diabetic cardiomyopathy.,10.1186/s12933-024-02514-6,2024,PubMed PMID 39633391; Crossref/DOI when DOI exists; official profile for E2-E6,PUBMED_NAME_AFFILIATION_CLUSTER,Shuhua Chen,"Department of Biochemistry, School of Life Sciences of Central South University",,verified,Current department and established PACS2/cardiovascular coauthor cluster agree.,None found in reviewed records,candidate,,,canonical journal record; no linked preprint identified,yes,Featured selection remains pending_manual_review.
chen-shuhua,E16,S1PR1 suppresses lung adenocarcinoma progression through p-STAT1/miR-30c-5p/FOXA1 pathway.,10.1186/s13046-024-03230-5,2024,PubMed PMID 39551792; Crossref/DOI when DOI exists; official profile for E2-E6,PUBMED_NAME_AFFILIATION_CLUSTER,Shuhua Chen,"Department of Biochemistry, School of Life Sciences of Central South University",,verified,Current department and established S1PR coauthor cluster agree; cancer topic retained for Owner review.,None found in reviewed records,candidate,,,canonical journal record; no linked preprint identified,yes,Featured selection remains pending_manual_review.
chen-shuhua,E17,Associations between Life's Essential 8 and abdominal aortic calcification among US Adults: a cross-sectional study.,10.1186/s12889-024-18622-7,2024,PubMed PMID 38641579; Crossref/DOI when DOI exists; official profile for E2-E6,PUBMED_NAME_AFFILIATION_CLUSTER,Shuhua Chen,"Department of Biochemistry, School of Life Sciences, Central South University",,verified,Current department and cardiovascular topic agree; observational-method shift retained for Owner review.,None found in reviewed records,candidate,,,canonical journal record; no linked preprint identified,yes,Featured selection remains pending_manual_review.
chen-shuhua,E18,Association of the triglyceride-glucose index with all-cause and cardiovascular mortality in patients with cardiometabolic syndrome: a national cohort study.,10.1186/s12933-024-02152-y,2024,PubMed PMID 38402393; Crossref/DOI when DOI exists; official profile for E2-E6,PUBMED_NAME_AFFILIATION_CLUSTER,Shuhua Chen,"Department of Biochemistry, School of Life Sciences, Central South University",,verified,Current department and cardiovascular topic agree; observational-method shift retained for Owner review.,None found in reviewed records,candidate,,,canonical journal record; no linked preprint identified,yes,Featured selection remains pending_manual_review.
chen-shuhua,E19,S1PR2/Wnt3a/RhoA/ROCK1/β-catenin signaling pathway promotes diabetic nephropathy by inducting endothelial mesenchymal transition and impairing endothelial barrier function.,10.1016/j.lfs.2023.121853,2023,PubMed PMID 37307963; Crossref/DOI when DOI exists; official profile for E2-E6,PUBMED_NAME_AFFILIATION_CLUSTER,Shuhua Chen,"Department of Biochemistry, School of Life Sciences of Central South University",,verified,Current department and established S1PR2/EndMT coauthor cluster agree.,None found in reviewed records,candidate,,,canonical journal record; no linked preprint identified,yes,Featured selection remains pending_manual_review.
chen-shuhua,E20,S1PR1 attenuates pulmonary fibrosis by inhibiting EndMT and improving endothelial barrier function.,10.1016/j.pupt.2023.102228,2023,PubMed PMID 37295666; Crossref/DOI when DOI exists; official profile for E2-E6,PUBMED_NAME_AFFILIATION_CLUSTER,Shuhua Chen,"Department of Biochemistry, School of Life Sciences of Central South University",,verified,Current department and established S1PR1/EndMT coauthor cluster agree.,None found in reviewed records,candidate,,,canonical journal record; no linked preprint identified,yes,Featured selection remains pending_manual_review.
chen-shuhua,E21,Resective Surgery for Drug-Resistant Epilepsy in Patients With Tuberous Sclerosis Complex: A Prospective Nationwide Multicenter Cohort Study.,10.1212/wnl.0000000000214260,2025,PubMed PMID 41100778; Crossref/DOI when DOI exists; official profile for E2-E6,PUBMED_NAME_AFFILIATION_CLUSTER,Shuhua Chen,"Neurology Department, Beijing Children's Hospital, Capital Medical University",,conflict,"Same-name author belongs to a different institution, department, field, and coauthor network.",Different institution/field/network,excluded,,,canonical journal record; no linked preprint identified,yes,Featured selection remains pending_manual_review.
chen-shuhua,E22,Oncogenic super-enhancer formation in tumorigenesis and its molecular mechanisms.,10.1038/s12276-020-0428-7,2020,PubMed PMID 32382065; Crossref/DOI when DOI exists; official profile for E2-E6,PUBMED_NAME_AFFILIATION_CLUSTER,Shuhua Chen,"Department of Otolaryngology, The Second People's Hospital of Foshan",,conflict,Same-name author belongs to a different institution and clinical department.,Different institution/field/network,excluded,,,canonical journal record; no linked preprint identified,yes,Featured selection remains pending_manual_review.
chen-shuhua,E23,MEF2A gene and susceptibility to coronary artery disease in the Chinese people.,,2006,PubMed PMID 16951497; Crossref/DOI when DOI exists; official profile for E2-E6,PUBMED_NAME_AFFILIATION_CLUSTER,Shuhua Chen,,,unresolved,"Topic and some record-level CSU context are plausible, but the target author lacks a directly closed affiliation, email, or ORCID.","No author-level affiliation, email, or ORCID",identity_pending,,,canonical journal record; no linked preprint identified,yes,Featured selection remains pending_manual_review.
deng-meichun,E2,SETD2 deficiency in peripheral sensory neurons induces allodynia by promoting NMDA receptor expression through NFAT5 in rodent models.,10.1016/j.ijbiomac.2024.136767,2024,PubMed PMID 39476923; DOI/Crossref; official profile for listed publications,OFFICIAL_PROFILE_NAME_AFFILIATION_CLUSTER,Meichun Deng,Central South University,,verified,"Official representative list plus PubMed DOI, author and current affiliation.",None found in reviewed records,adopted,E2,,canonical journal record; no linked preprint identified,yes,Featured selection remains pending_manual_review.
deng-meichun,E3,Overactive PKA signaling underlies the hyperalgesia in an ADHD mouse model.,10.1016/j.isci.2024.111110,2024,PubMed PMID 39507260; DOI/Crossref; official profile for listed publications,OFFICIAL_PROFILE_NAME_AFFILIATION_CLUSTER,Meichun Deng,Central South University,,verified,"Official representative list plus PubMed DOI, author and current affiliation.",None found in reviewed records,adopted,E3,,canonical journal record; no linked preprint identified,yes,Featured selection remains pending_manual_review.
deng-meichun,E4,Spider venom-derived peptide JZTX-14 prevents migration and invasion of breast cancer cells via inhibition of sodium channels.,10.3389/fphar.2023.1067665,2023,PubMed PMID 37033662; DOI/Crossref; official profile for listed publications,OFFICIAL_PROFILE_NAME_AFFILIATION_CLUSTER,Meichun Deng,Central South University,,verified,"Official representative list plus PubMed DOI, author and current affiliation.",None found in reviewed records,adopted,E4,,canonical journal record; no linked preprint identified,yes,Featured selection remains pending_manual_review.
deng-meichun,E5,Comparison of cardiovascular outcomes and cardiometabolic risk factors between patients with type 2 diabetes treated with sodium-glucose cotransporter-2 inhibitors and dipeptidyl peptidase-4 inhibitors: a meta-analysis.,10.1093/eurjpc/zwab099,2022,PubMed PMID 34136913; DOI/Crossref; official profile for listed publications,OFFICIAL_PROFILE_NAME_AFFILIATION_CLUSTER,Meichun Deng,Central South University,,verified,"Official representative list plus PubMed DOI, author and current affiliation.",None found in reviewed records,adopted,E5,,canonical journal record; no linked preprint identified,yes,Featured selection remains pending_manual_review.
deng-meichun,E6,α2δ-1-Bound N-Methyl-D-aspartate Receptors Mediate Morphine-induced Hyperalgesia and Analgesic Tolerance by Potentiating Glutamatergic Input in Rodents.,10.1097/aln.0000000000002648,2019,PubMed PMID 30839350; DOI/Crossref; official profile for listed publications,OFFICIAL_PROFILE_NAME_AFFILIATION_CLUSTER,Meichun Deng,University of Texas MD Anderson Cancer Center,,verified,Official representative list plus PubMed DOI and publication-time MD Anderson/CSU career affiliation.,None found in reviewed records,adopted,E6,,canonical journal record; no linked preprint identified,yes,Featured selection remains pending_manual_review.
deng-meichun,E7,Molecular Basis of the Inhibition of Voltage-Gated Potassium Channel Kv1.1 by Chinese Tarantula Peptide Huwentoxin-XI.,10.3390/toxins18030124,2026,PubMed PMID 41893546; DOI/Crossref; official profile for listed publications,OFFICIAL_PROFILE_NAME_AFFILIATION_CLUSTER,Meichun Deng,Central South University,,verified,Exact current department and established peptide/channel network; retained for Owner selection.,None found in reviewed records,adopted,E7,,canonical journal record; no linked preprint identified,yes,Featured selection remains pending_manual_review. Owner decision 2026-09-10: promoted to adopted for local publication review; not release approval.
deng-meichun,E8,High-dose polystyrene nanoparticles trigger aberrant activation of the MAPK pathway in spinal cord and pain hypersensitivity.,10.1186/s12951-026-04186-8,2026,PubMed PMID 41772688; DOI/Crossref; official profile for listed publications,OFFICIAL_PROFILE_NAME_AFFILIATION_CLUSTER,Meichun Deng,Central South University,0000-0002-3558-1314,verified,"Exact ORCID, official email and current department.",None found in reviewed records,adopted,E8,,canonical journal record; no linked preprint identified,yes,Featured selection remains pending_manual_review. Owner decision 2026-09-10: promoted to adopted for local publication review; not release approval.
deng-meichun,E9,Spider-derived peptide LCTx-F2 suppresses ASIC channels by occupying the acidic pocket.,10.1016/j.jbc.2025.108286,2025,PubMed PMID 39938802; DOI/Crossref; official profile for listed publications,OFFICIAL_PROFILE_NAME_AFFILIATION_CLUSTER,Meichun Deng,Central South University,,verified,Exact current department and established peptide/channel coauthor network.,None found in reviewed records,candidate,,,canonical journal record; no linked preprint identified,yes,Featured selection remains pending_manual_review.
deng-meichun,E10,New advances in Nrf2-mediated analgesic drugs.,10.1016/j.phymed.2022.154598,2023,PubMed PMID 36603339; DOI/Crossref; official profile for listed publications,OFFICIAL_PROFILE_NAME_AFFILIATION_CLUSTER,Meichun Deng,Central South University,,verified,"Official email, current department and pain topic agree.",None found in reviewed records,adopted,E10,,canonical journal record; no linked preprint identified,yes,Featured selection remains pending_manual_review. Owner decision 2026-09-10: promoted to adopted for local publication review; not release approval.
deng-meichun,E11,Structure and Function of Sodium Channel Nav1.3 in Neurological Disorders.,10.1007/s10571-022-01211-w,2023,PubMed PMID 35332400; DOI/Crossref; official profile for listed publications,OFFICIAL_PROFILE_NAME_AFFILIATION_CLUSTER,Meichun Deng,Central South University,0000-0002-3558-1314,verified,"Exact ORCID, official email and current department.",None found in reviewed records,adopted,E11,,canonical journal record; no linked preprint identified,yes,Featured selection remains pending_manual_review. Owner decision 2026-09-10: promoted to adopted for local publication review; not release approval.
deng-suixin,E2,Knockout of Bmal1 in dopaminergic neurons induces ADHD-like symptoms via hyperactive dopamine signaling in male mice.,10.1186/s12993-025-00287-w,2025,PubMed PMID 40646562; DOI/Crossref; official profile for listed publications,OFFICIAL_PROFILE_NAME_AFFILIATION_CLUSTER,Suixin Deng,Central South University,,verified,Official representative list plus official email and current affiliation.,None found in reviewed records,adopted,E2,,canonical journal record; no linked preprint identified,yes,Featured selection remains pending_manual_review.
deng-suixin,E3,Deep brain stimulation alleviates Parkinsonian motor deficits through desynchronizing GABA release in mice.,10.1038/s41467-025-59113-6,2025,PubMed PMID 40253429; DOI/Crossref; official profile for listed publications,OFFICIAL_PROFILE_NAME_AFFILIATION_CLUSTER,Suixin Deng,Central South University,0000-0003-4795-2570,verified,"Official representative list plus exact ORCID, email and current affiliation.",None found in reviewed records,adopted,E3,,canonical journal record; no linked preprint identified,yes,Featured selection remains pending_manual_review.
deng-suixin,E4,GDF11 slows excitatory neuronal senescence and brain ageing by repressing p21.,10.1038/s41467-023-43292-1,2023,PubMed PMID 37978295; DOI/Crossref; official profile for listed publications,OFFICIAL_PROFILE_NAME_AFFILIATION_CLUSTER,Suixin Deng,Fudan University,0000-0003-4795-2570,verified,Official representative list plus exact ORCID and publication-time Fudan affiliation.,None found in reviewed records,adopted,E4,,canonical journal record; no linked preprint identified,yes,Featured selection remains pending_manual_review.
deng-suixin,E5,Human antimicrobial peptide LL-37 contributes to Alzheimer's disease progression.,10.1038/s41380-022-01790-6,2022,PubMed PMID 36138130; DOI/Crossref; official profile for listed publications,OFFICIAL_PROFILE_NAME_AFFILIATION_CLUSTER,Suixin Deng,Fudan University,0000-0003-4795-2570,verified,Official representative list plus exact ORCID and publication-time Fudan affiliation.,None found in reviewed records,adopted,E5,,canonical journal record; no linked preprint identified,yes,Featured selection remains pending_manual_review.
deng-suixin,E6,Regulation of Recurrent Inhibition by Asynchronous Glutamate Release in Neocortex.,10.1016/j.neuron.2019.10.038,2020,PubMed PMID 31806492; DOI/Crossref; official profile for listed publications,OFFICIAL_PROFILE_NAME_AFFILIATION_CLUSTER,Suixin Deng,Beijing Normal University,,verified,"Official representative list plus PubMed DOI, first-author position and publication-time BNU affiliation.",None found in reviewed records,adopted,E6,,canonical journal record; no linked preprint identified,yes,Featured selection remains pending_manual_review.
deng-suixin,E7,Increased activity of DRD1-MSNs in dorsolateral striatum underlies Cry1Δ11 mutation-induced repetitive behaviors.,10.1038/s41398-026-04219-8,2026,PubMed PMID 42443162; DOI/Crossref; official profile for listed publications,OFFICIAL_PROFILE_NAME_AFFILIATION_CLUSTER,Suixin Deng,Central South University,0000-0003-4795-2570,verified,"Exact ORCID, official email and current affiliation.",None found in reviewed records,adopted,E7,,canonical journal record; no linked preprint identified,yes,Featured selection remains pending_manual_review. Owner decision 2026-09-10: promoted to adopted for local publication review; not release approval.
deng-suixin,E8,Evidence supporting the role of GIGYF2 in synapse development and autism.,10.1038/s41380-026-03681-6,2026,PubMed PMID 42297935; DOI/Crossref; official profile for listed publications,OFFICIAL_PROFILE_NAME_AFFILIATION_CLUSTER,Suixin Deng,Central South University,,verified,Exact current unit and official neurodevelopment direction; retained as candidate.,None found in reviewed records,adopted,E8,,canonical journal record; no linked preprint identified,yes,Featured selection remains pending_manual_review. Owner decision 2026-09-10: promoted to adopted for local publication review; not release approval.
deng-suixin,E9,Spindle neurons in human cortex possess distinctive firing properties and transcriptomic signatures.,10.1038/s41467-026-72935-2,2026,PubMed PMID 42120382; DOI/Crossref; official profile for listed publications,OFFICIAL_PROFILE_NAME_AFFILIATION_CLUSTER,Suixin Deng,Central South University,,verified,Exact current unit and coherent neuroscience network; retained as candidate.,None found in reviewed records,candidate,,,canonical journal record; no linked preprint identified,yes,Featured selection remains pending_manual_review.
duan-ranhui,E2,Modulating CCTG repeat expansion toxicity in DM2 Drosophila model through TDP1 inhibition.,10.1038/s44321-025-00217-3,2025,PubMed PMID 40133672; DOI/Crossref; official profile for listed publications,OFFICIAL_PROFILE_NAME_AFFILIATION_CLUSTER,Ranhui Duan,Central South University,0000-0001-7117-4487,verified,"Official representative list plus exact ORCID, email and current affiliation.",None found in reviewed records,adopted,E2,,canonical journal record; no linked preprint identified,yes,Featured selection remains pending_manual_review.
duan-ranhui,E3,Eg5 UFMylation promotes spindle organization during mitosis.,10.1038/s41419-024-06934-w,2024,PubMed PMID 39085203; DOI/Crossref; official profile for listed publications,OFFICIAL_PROFILE_NAME_AFFILIATION_CLUSTER,Ranhui Duan,Central South University,0000-0001-7117-4487,verified,"Official representative list plus exact ORCID, email and current affiliation; formal article selected over preprint 10.21203/rs.3.rs-3754446/v1.",None found in reviewed records,adopted,E3,duan-ranhui-eg5,formal article selected over preprint,yes,Featured selection remains pending_manual_review.
duan-ranhui,E4,Strategic Implementation of Fragile X Carrier Screening in China: A Focused Pilot Study.,10.1016/j.jmoldx.2024.06.005,2024,PubMed PMID 39032823; DOI/Crossref; official profile for listed publications,OFFICIAL_PROFILE_NAME_AFFILIATION_CLUSTER,Ranhui Duan,Central South University,,verified,Official representative list plus official email and current affiliation.,None found in reviewed records,adopted,E4,,canonical journal record; no linked preprint identified,yes,Featured selection remains pending_manual_review.
duan-ranhui,E5,Loss of Drosophila NUS1 results in cholesterol accumulation and Parkinson's disease-related neurodegeneration.,10.1096/fj.202200212r,2022,PubMed PMID 35695805; DOI/Crossref; official profile for listed publications,OFFICIAL_PROFILE_NAME_AFFILIATION_CLUSTER,Ranhui Duan,Central South University,,verified,Official representative list plus current affiliation and Drosophila disease-model continuity.,None found in reviewed records,adopted,E5,,canonical journal record; no linked preprint identified,yes,Featured selection remains pending_manual_review.
duan-ranhui,E6,Assessment of GGC Repeat Expansion in GIPC1 in Patients with Parkinson's Disease.,10.1002/mds.29041,2022,PubMed PMID 35521937; DOI/Crossref; official profile for listed publications,OFFICIAL_PROFILE_NAME_AFFILIATION_CLUSTER,Ranhui Duan,Central South University,,verified,Official representative list plus current medical-genetics affiliation.,None found in reviewed records,adopted,E6,,canonical journal record; no linked preprint identified,yes,Featured selection remains pending_manual_review.
duan-ranhui,E7,"FYN, a Novel Target of Fragile X Mental Retardation Protein, Potentially Underlies ERK1/2 Hyperactivation in Fragile X Syndrome.",10.1007/s12035-026-06115-0,2026,PubMed PMID 42557527; DOI/Crossref; official profile for listed publications,OFFICIAL_PROFILE_NAME_AFFILIATION_CLUSTER,Ranhui Duan,Central South University,,verified,Exact current unit and fragile-X topic.,None found in reviewed records,adopted,E7,,canonical journal record; no linked preprint identified,yes,Featured selection remains pending_manual_review. Owner decision 2026-09-10: promoted to adopted for local publication review; not release approval.
duan-ranhui,E8,Integrator subunit IntS11 orchestrates the temporal dynamics of neural lineage progression in Drosophila.,10.1186/s13578-026-01578-z,2026,PubMed PMID 42035222; DOI/Crossref; official profile for listed publications,OFFICIAL_PROFILE_NAME_AFFILIATION_CLUSTER,Ranhui Duan,Central South University,,verified,"Official email, current unit and Drosophila network.",None found in reviewed records,adopted,E8,,canonical journal record; no linked preprint identified,yes,Featured selection remains pending_manual_review. Owner decision 2026-09-10: promoted to adopted for local publication review; not release approval.
duan-ranhui,E9,Plasma p-tau species are elevated in presymptomatic and symptomatic neuronal intranuclear inclusion disease.,10.1016/j.ebiom.2026.106127,2026,PubMed PMID 41539185; DOI/Crossref; official profile for listed publications,OFFICIAL_PROFILE_NAME_AFFILIATION_CLUSTER,Ranhui Duan,Central South University,,verified,Exact current unit and repeat-expansion neurodegeneration context.,None found in reviewed records,candidate,,,canonical journal record; no linked preprint identified,yes,Featured selection remains pending_manual_review.
duan-ranhui,E10,Genome-wide modulation of alternative splicing by a predicted alpha helix in U2AF2.,10.1093/nar/gkaf1347,2025,PubMed PMID 41404809; DOI/Crossref; official profile for listed publications,OFFICIAL_PROFILE_NAME_AFFILIATION_CLUSTER,Ranhui Duan,Central South University,,verified,Exact current unit and molecular-genetics network.,None found in reviewed records,candidate,,,canonical journal record; no linked preprint identified,yes,Featured selection remains pending_manual_review.
duan-ranhui,E11,"UBA5 missense variants disrupt UFM1 activation: Structural, dynamic, and functional dissection.",10.1016/j.ijbiomac.2025.149540,2026,PubMed PMID 41360240; DOI/Crossref; official profile for listed publications,OFFICIAL_PROFILE_NAME_AFFILIATION_CLUSTER,Ranhui Duan,Central South University,,verified,Official email and current unit.,None found in reviewed records,adopted,E11,,canonical journal record; no linked preprint identified,yes,Featured selection remains pending_manual_review. Owner decision 2026-09-10: promoted to adopted for local publication review; not release approval.
fan-liangliang,E2,Loss of RTN3 phenocopies chronic kidney disease and results in activation of the IGF2-JAK2 pathway in proximal tubular epithelial cells.,10.1038/s12276-022-00763-7,2022,PubMed PMID 35596061; DOI/Crossref; official profile for listed publications,OFFICIAL_PROFILE_NAME_AFFILIATION_CLUSTER,Liang-Liang Fan,Central South University,,verified,Official representative list plus first-author position and publication-time CSU affiliations.,None found in reviewed records,adopted,E2,,canonical journal record; no linked preprint identified,yes,Featured selection remains pending_manual_review.
fan-liangliang,E3,Haploinsufficiency of syncoilin leads to hypertrophic cardiomyopathy.,10.1016/j.gendis.2022.02.011,2022,PubMed PMID 36157493; DOI/Crossref; official profile for listed publications,OFFICIAL_PROFILE_NAME_AFFILIATION_CLUSTER,Liang-Liang Fan,Central South University,,verified,Official representative list plus first-author position and publication-time CSU affiliations.,None found in reviewed records,adopted,E3,,canonical journal record; no linked preprint identified,yes,Featured selection remains pending_manual_review.
fan-liangliang,E4,Reticulon 3 regulates sphingosine-1-phosphate synthesis in endothelial cells to control blood pressure.,10.1002/mco2.480,2024,PubMed PMID 38352050; DOI/Crossref; official profile for listed publications,OFFICIAL_PROFILE_NAME_AFFILIATION_CLUSTER,Liang-Liang Fan,Central South University,0000-0001-7431-1838,verified,Official representative list plus exact ORCID and current affiliation.,None found in reviewed records,adopted,E4,,canonical journal record; no linked preprint identified,yes,Featured selection remains pending_manual_review.
fan-liangliang,E5,Lipin3 deficiency promotes hepatocyte ferroptosis and pyroptosis via activating JAK1-STAT3 pathway during acetaminophen induced acute liver injury.,10.1186/s43556-025-00317-z,2025,PubMed PMID 41071519; DOI/Crossref; official profile for listed publications,OFFICIAL_PROFILE_NAME_AFFILIATION_CLUSTER,Liang-Liang Fan,Central South University,,verified,Official representative list plus official email and current affiliation.,None found in reviewed records,adopted,E5,,canonical journal record; no linked preprint identified,yes,Featured selection remains pending_manual_review.
fan-liangliang,E6,Lipin3 deficiency aggravates cisplatin induced acute kidney injury via activating Sirt1-p21-Caspase 3-GSDME pyroptosis pathway.,10.7150/ijbs.110125,2025,PubMed PMID 40959286; DOI/Crossref; official profile for listed publications,OFFICIAL_PROFILE_NAME_AFFILIATION_CLUSTER,Liang-Liang Fan,Central South University,,verified,Official representative list plus current affiliation and Lipin3 coauthor continuity.,None found in reviewed records,adopted,E6,,canonical journal record; no linked preprint identified,yes,Featured selection remains pending_manual_review.
